ecimk,KSHkod,telkod,megye,telnev,teltip,teltip3,teltip8,jaraskodKSH,nepesseg,UTCA,Hazszam,eredm
221,11305,11305,16,Besenyszög,4,3,6,167,3339,ATTILA ÚT,33,2
223,11305,11305,16,Besenyszög,4,3,6,167,3339,BEM KÖRÚT,31,2
224,11305,11305,16,Besenyszög,4,3,6,167,3339,CHIOVINI FERENC ÚT,8,2
225,11305,11305,16,Besenyszög,4,3,6,167,3339,CHIOVINI FERENC ÚT,30,1
226,11305,11305,16,Besenyszög,4,3,6,167,3339,CSILLAG ÚT,25,2
228,11305,11305,16,Besenyszög,4,3,6,167,3339,KOSSUTH ÚT,48,1
229,11305,11305,16,Besenyszög,4,3,6,167,3339,MAGYAR ÚT,5,2
230,11305,11305,16,Besenyszög,4,3,6,167,3339,NEFELEJCS ÚT,18/A,1
232,11305,11305,16,Besenyszög,4,3,6,167,3339,PÁSZTOR ÚT,22,1
233,16346,16346,7,Besnyő,4,3,7,78,1752,ADY ENDRE UTCA,17,1
234,16346,16346,7,Besnyő,4,3,7,78,1752,AKÁCFA UTCA,6,0
236,16346,16346,7,Besnyő,4,3,7,78,1752,ARANY JÁNOS UTCA,5,1
237,16346,16346,7,Besnyő,4,3,7,78,1752,ÁRPÁD UTCA,8,2
239,16346,16346,7,Besnyő,4,3,7,78,1752,DÓZSA GYÖRGY UTCA,41,1
240,16346,16346,7,Besnyő,4,3,7,78,1752,DÓZSA GYÖRGY UTCA,54,1
241,16346,16346,7,Besnyő,4,3,7,78,1752,FŐ UTCA,63,0
242,16346,16346,7,Besnyő,4,3,7,78,1752,JÓZSEF ATTILA UTCA,1,2
243,16346,16346,7,Besnyő,4,3,7,78,1752,JÓZSEF ATTILA UTCA,14,0
244,16346,16346,7,Besnyő,4,3,7,78,1752,JÓZSEF ATTILA UTCA,17,0
245,16346,16346,7,Besnyő,4,3,7,78,1752,KOSSUTH LAJOS UTCA,15,1
246,16346,16346,7,Besnyő,4,3,7,78,1752,KOSSUTH LAJOS UTCA,16,0
248,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,33,1
249,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,38,2
250,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,43,0
251,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,49,2
252,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,55,0
253,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,70,2
254,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,74,1
255,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,75,0
258,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,94,1
259,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,95,0
260,14119,14119,2,Bezedek,4,3,8,27,232,KOSSUTH LAJOS UTCA,98,0
261,8891,8891,13,Biatorbágy,3,2,3,123,12484,FŐ UTCA,28,0
263,8891,8891,13,Biatorbágy,3,2,3,123,12484,RÁKÓCZI UTCA,16,2
264,8891,8891,13,Biatorbágy,3,2,3,123,12484,TÁNCSICS MIHÁLY UTCA,2,1
266,10481,10481,7,Bicske,3,2,3,77,11196,BATTHYÁNY LAJOS UTCA,7,1
267,10481,10481,7,Bicske,3,2,3,77,11196,JAKAB UTCA,5,0
269,25195,25195,5,Bogács,4,3,6,60,1952,ALKOTMÁNY UTCA,10,1
273,25195,25195,5,Bogács,4,3,6,60,1952,BÉKE UTCA,24,1
274,25195,25195,5,Bogács,4,3,6,60,1952,GÁRDONYI GÉZA UTCA,5,1
275,25195,25195,5,Bogács,4,3,6,60,1952,HARKÁLY UTCA,23,2
276,25195,25195,5,Bogács,4,3,6,60,1952,HÓRVÖLGYE UTCA,12,1
277,25195,25195,5,Bogács,4,3,6,60,1952,JÓKAI UTCA,5,2
278,25195,25195,5,Bogács,4,3,6,60,1952,JÓKAI UTCA,41,0
279,25195,25195,5,Bogács,4,3,6,60,1952,JÓZSEF ATTILA UTCA,70,2
281,25195,25195,5,Bogács,4,3,6,60,1952,KOSSUTH UTCA,40,2
282,25195,25195,5,Bogács,4,3,6,60,1952,PETŐFI UTCA,4,1
283,32151,32151,2,Bogád,4,3,7,28,1071,CSANKÓ HEGYI UTCA,16,1
284,32151,32151,2,Bogád,4,3,7,28,1071,GÓLYA UTCA,36,1
286,32151,32151,2,Bogád,4,3,7,28,1071,KOSSUTH UTCA,27,1
288,32151,32151,2,Bogád,4,3,7,28,1071,KOSSUTH UTCA,46,0
289,32151,32151,2,Bogád,4,3,7,28,1071,KOSSUTH UTCA,77,0
290,32151,32151,2,Bogád,4,3,7,28,1071,KOSSUTH UTCA,92,1
291,32151,32151,2,Bogád,4,3,7,28,1071,KOSSUTH UTCA,122,0
293,32151,32151,2,Bogád,4,3,7,28,1071,PETŐFI UTCA,15.aug,0
294,32151,32151,2,Bogád,4,3,7,28,1071,PETŐFI UTCA,16.febr,1
295,32151,32151,2,Bogád,4,3,7,28,1071,PETŐFI UTCA,16.márc,0
296,32151,32151,2,Bogád,4,3,7,28,1071,PETŐFI UTCA,19.márc,1
297,3425,3425,17,Bogyiszló,4,3,6,175,2195,BÉKE UTCA,9,0
300,3425,3425,17,Bogyiszló,4,3,6,175,2195,HONVÉD UTCA,17,0
301,3425,3425,17,Bogyiszló,4,3,6,175,2195,HONVÉD UTCA,48,2
302,3425,3425,17,Bogyiszló,4,3,6,175,2195,HONVÉD UTCA,85,1
303,3425,3425,17,Bogyiszló,4,3,6,175,2195,JÓZSEF ATTILA UTCA,21,0
304,3425,3425,17,Bogyiszló,4,3,6,175,2195,JÓZSEF ATTILA UTCA,24,1
305,3425,3425,17,Bogyiszló,4,3,6,175,2195,KÁNTORNA UTCA,2,0
306,3425,3425,17,Bogyiszló,4,3,6,175,2195,KOSSUTH UTCA,6,2
307,3425,3425,17,Bogyiszló,4,3,6,175,2195,KOSSUTH UTCA,41,2
309,3425,3425,17,Bogyiszló,4,3,6,175,2195,KÜZDELEM UTCA,17,1
312,6497,6497,17,Bonyhád,3,2,3,170,13630,PERCZEL MÓR UTCA,86,1
313,6497,6497,17,Bonyhád,3,2,3,170,13630,RÁKÓCZI FERENC UTCA,80,0
314,6497,6497,17,Bonyhád,3,2,3,170,13630,SZENT IMRE UTCA,8,0
317,6707,6707,5,Borsodivánka,4,3,8,60,746,ARANY JÁNOS UTCA,11,1
320,6707,6707,5,Borsodivánka,4,3,8,60,746,IFJUSÁG UTCA,12,0
322,6707,6707,5,Borsodivánka,4,3,8,60,746,JÓZSEF ATTILA UTCA,1,0
323,6707,6707,5,Borsodivánka,4,3,8,60,746,JÓZSEF ATTILA UTCA,9,0
324,6707,6707,5,Borsodivánka,4,3,8,60,746,JÓZSEF ATTILA UTCA,13,1
325,6707,6707,5,Borsodivánka,4,3,8,60,746,JÓZSEF ATTILA UTCA,21,0
326,6707,6707,5,Borsodivánka,4,3,8,60,746,JÓZSEF ATTILA UTCA,88,1
327,6707,6707,5,Borsodivánka,4,3,8,60,746,PETŐFI SÁNDOR UTCA,3,2
329,3407,3407,13,Budajenő,4,3,7,123,1687,ADY ENDRE UTCA,30,1
330,3407,3407,13,Budajenő,4,3,7,123,1687,ADY ENDRE UTCA,47,1
333,3407,3407,13,Budajenő,4,3,7,123,1687,FÁCÁN UTCA,11,0
334,3407,3407,13,Budajenő,4,3,7,123,1687,KIS-KÖZ UTCA,1,0
336,3407,3407,13,Budajenő,4,3,7,123,1687,KOSSUTH LAJOS UTCA,20,1
337,3407,3407,13,Budajenő,4,3,7,123,1687,ROZMARING UTCA,14/A,1
338,3407,3407,13,Budajenő,4,3,7,123,1687,SPORT UTCA,4/A,1
341,3407,3407,13,Budajenő,4,3,7,123,1687,SZŐLŐ UTCA,44,1
343,23463,23463,13,Budakalász,3,2,4,135,10619,BÉKE SÉTÁNY,11,0
344,23463,23463,13,Budakalász,3,2,4,135,10619,DOLINAI UTCA,003523/61,0
345,23463,23463,13,Budakalász,3,2,4,135,10619,HAJNALKA UTCA,14,1
346,23463,23463,13,Budakalász,3,2,4,135,10619,JÓZSEF ATTILA UTCA,17,1
347,12052,12052,13,Budakeszi,3,2,3,123,13502,CSÁK JÓZSEF UTCA,23,1
348,12052,12052,13,Budakeszi,3,2,3,123,13502,FŐ UTCA,24,1
349,12052,12052,13,Budakeszi,3,2,3,123,13502,FŐ UTCA,159,0
351,12052,12052,13,Budakeszi,3,2,3,123,13502,MEGYEI ÚT,76,1
352,23278,23278,13,Budaörs,3,2,3,123,26757,ALMA UTCA,29,0
353,23278,23278,13,Budaörs,3,2,3,123,26757,FARKASRÉTI ÚT,13,0
354,23278,23278,13,Budaörs,3,2,3,123,26757,FARKASRÉTI ÚT,febr.79,1
355,23278,23278,13,Budaörs,3,2,3,123,26757,LÉVAI UTCA,31,0
356,23278,23278,13,Budaörs,3,2,3,123,26757,LIGET UTCA,6,0
358,23278,23278,13,Budaörs,3,2,3,123,26757,ŐSZIBARACK UTCA,18/B,0
359,23278,23278,13,Budaörs,3,2,3,123,26757,SZABADSÁG ÚT,321,0
360,23278,23278,13,Budaörs,3,2,3,123,26757,TEMPLOM TÉR,7,1
362,9566,9566,1,Budapest 01. kerület,1,1,1,999,24158,ATTILA ÚT,37,0
363,9566,9566,1,Budapest 01. kerület,1,1,1,999,24158,BATTHYÁNY UTCA,46,2
364,9566,9566,1,Budapest 01. kerület,1,1,1,999,24158,CSALOGÁNY UTCA,22-24,1
365,9566,9566,1,Budapest 01. kerület,1,1,1,999,24158,HATTYÚ UTCA,4,1
366,9566,9566,1,Budapest 01. kerület,1,1,1,999,24158,NAPHEGY TÉR,2,0
368,9566,9566,1,Budapest 01. kerület,1,1,1,999,24158,OSTROM UTCA,19,1
369,9566,9566,1,Budapest 01. kerület,1,1,1,999,24158,VÁRFOK UTCA,15/C,2
370,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,ÁRVÁCSKA UTCA,7,1
371,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,BALOGVÁR UTCA,5/A,0
372,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,BIMBÓ ÚT,78,0
373,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,ELŐD VEZÉR UTCA,37/B,0
375,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,FELSŐ ZÖLDMÁLI ÚT,61-65,1
377,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,GÁBOR ÁRON UTCA,49/A,0
378,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,GESZTENYEFA UTCA,4,2
379,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,GYULAI PÁL UTCA,9,2
380,3179,3179,1,Budapest 02. kerület,1,1,1,999,87744,HANKÓCZY JENŐ UTCA,22,1
